番号,ポケモン,わざ1,わざ2,わざ3,わざ4,もちもの,せいかく,努力値,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ
21,チェリンボ,マジカルリーフ,どくどく,やどりぎのタネ,てだすけ,おはなのおこう,ひかえめ,とくこう/とくぼう,105,36,50,107,89,40
22,スボミー,メガドレイン,どくどく,せいちょう,なやみのタネ,おおきなねっこ,おだやか,とくこう/とくぼう,100,31,40,86,116,60
23,リーシャン,ねんりき,スピードスター,かなしばり,なきごえ,まがったスプーン,ひかえめ,とくこう/とくぼう,105,31,55,111,86,50
24,リオル,かわらわり,バレットパンチ,みやぶる,カウンター,たつじんのおび,いじっぱり,こうげき/すばやさ,100,116,45,36,45,96
25,ウソハチ,いわなだれ,けたぐり,まねっこ,すなあらし,がんせきおこう,いじっぱり,こうげき/ぼうぎょ,110,127,131,13,50,15
26,カゲボウズ,かげうち,はたきおとす,おにび,おんねん,のろいのおふだ,いじっぱり,HP/こうげき,135,122,40,61,38,50
27,ヨマワル,かげうち,いたみわけ,おにび,あやしいひかり,のろいのおふだ,いじっぱり,ぼうぎょ/とくぼう,80,49,126,31,126,30
28,ロコン,ひのこ,スピードスター,おにび,あやしいひかり,ひかりのこな,おだやか,とくこう/とくぼう,98,41,45,86,111,70
29,ピカチュウ,でんきショック,スピードスター,でんじは,かげぶんしん,オボンのみ,ひかえめ,とくこう/すばやさ,95,54,35,94,45,126
30,サンド,あなをほる,がんせきふうじ,すなあらし,すなかけ,やわらかいすな,いじっぱり,こうげき/ぼうぎょ,110,122,121,22,35,45
31,イシツブテ,マグニチュード,ロックブラスト,かいりき,まもる,きあいのハチマキ,いじっぱり,こうげき/ぼうぎょ,100,127,136,31,35,25
32,ミニリュウ,たつまき,みずのはどう,でんじは,ちょうおんぱ,クラボのみ,ひかえめ,とくこう/とくぼう,101,62,50,94,86,55
33,ブルー,ずつき,かみつく,いばる,こわいかお,するどいツメ,いじっぱり,HP/こうげき,151,127,55,40,45,35
34,テッポウオ,バブルこうせん,オーロラビーム,どろかけ,ちょうおんぱ,ヤタピのみ,ひかえめ,とくこう/すばやさ,95,63,40,111,40,101
35,ヨーギラス,いわなだれ,あなをほる,かみつく,こわいかお,チイラのみ,いじっぱり,HP/こうげき,141,110,55,45,55,46
36,ヤジロン,サイケこうせん,どろかけ,げんしのちから,ひかりのかべ,まがったスプーン,ひかえめ,とくこう/とくぼう,110,40,60,83,106,60
37,ユキワラシ,こおりのキバ,ずつき,かみつく,まもる,おうじゃのしるし,いじっぱり,HP/こうげき,141,94,55,49,55,55
38,タツベイ,りゅうのいぶき,ずつき,かわらわり,こわいかお,りゅうのキバ,やんちゃ,こうげき/ぼうぎょ,105,122,96,45,31,55
39,ドーミラー,ねんりき,ジャイロボール,げんしのちから,ふういん,あやしいおこう,ゆうかん,こうげき/とくこう,117,66,91,60,91,25
40,フカマル,りゅうのいかり,すなじごく,メタルクロー,すなあらし,やわらかいすな,いじっぱり,HP/こうげき,149,116,50,40,50,47
41,グレッグル,どくづき,めざましビンタ,ちょうはつ,いばる,くろいヘドロ,いじっぱり,HP/こうげき,139,106,45,59,45,55
42,コンパン,むしくい,どくのこな,サイケこうせん,ちょうおんぱ,ぎんのこな,のんき,HP/とくこう,151,60,60,76,60,45
43,ワンリキー,からてチョップ,がんせきふうじ,みやぶる,こわいかお,ピントレンズ,いじっぱり,HP/こうげき,161,127,55,36,40,40
44,ムチュール,ねんりき,こごえるかぜ,ねこだまし,てんしのキッス,ひかりのこな,おっとり,とくこう/すばやさ,105,35,18,133,70,101
45,キバニア,アクアジェット,かみつく,こわいかお,いばる,クラボのみ,いじっぱり,HP/こうげき,136,138,25,63,25,70
46,ドンメル,マグニチュード,ひのこ,がんせきふうじ,すなあらし,のんきのおこう,まじめ,こうげき/とくこう,120,96,45,101,50,40
47,ヘイガニ,バブルこうせん,はさむ,はたきおとす,いばる,モモンのみ,ゆうかん,HP/とくこう,134,93,70,86,40,36
48,ドードー,つばめがえし,でんこうせっか,だましうち,つぼをつく,チイラのみ,ようき,こうげき/すばやさ,95,121,50,36,40,122
49,チルット,エアカッター,スピードスター,オウムがえし,メロメロ,メンタルハーブ,ひかえめ,とくこう/とくぼう,105,40,65,83,111,55
50,ニャルマー,みだれひっかき,ねこだまし,だましうち,メロメロ,するどいツメ,ようき,こうげき/すばやさ,109,91,47,42,42,133
51,マネネ,まねっこ,ねんりき,バリアー,ひかりのかべ,のんきのおこう,ずぶとい,とくこう/とくぼう,80,27,55,106,126,65
52,ヤドン,みずのはどう,ねんりき,かなしばり,あくび,クラボのみ,ひかえめ,HP/とくこう,181,63,70,83,45,20
53,ナゾノクサ,メガドレイン,ようかいえき,あまいかおり,つきのひかり,おはなのおこう,ずぶとい,とくこう/とくぼう,105,49,66,111,101,35
54,コダック,みずでっぽう,ねんりき,みずあそび,かなしばり,カゴのみ,ひかえめ,HP/とくこう,141,51,53,111,55,60
55,カラカラ,ホネこんぼう,ずつき,かわらわり,にらみつける,やわらかいすな,いじっぱり,こうげき/ぼうぎょ,110,94,131,40,55,40
56,トサキント,みずのはどう,サイケこうせん,ちょうおんぱ,あまごい,ヤタピのみ,ひかえめ,ぼうぎょ/とくこう,105,64,96,78,55,68
57,ネイティ,ナイトヘッド,エアカッター,あやしいかぜ,みらいよち,まがったスプーン,おくびょう,とくこう/すばやさ,100,49,50,106,50,116
58,ピッピ,めざましビンタ,このゆびとまれ,アンコール,うたう,ひかりのこな,いじっぱり,HP/こうげき,161,89,53,58,70,40
59,コイル,でんげきは,ミラーショット,きんぞくおん,リフレクター,チーゴのみ,ずぶとい,ぼうぎょ/とくこう,85,36,116,131,60,50
60,パウワウ,アクアジェット,こおりのつぶて,ねこだまし,アンコール,ナナシのみ,いじっぱり,こうげき/とくぼう,125,89,60,45,106,50
61,ベトベター,どくどく,かげうち,とける,ちいさくなる,くろいヘドロ,いじっぱり,HP/こうげき,171,127,55,40,55,30
62,クラブ,バブルこうせん,はさむ,にらみつける,まもる,モモンのみ,れいせい,ぼうぎょ/とくこう,90,110,126,67,30,49
63,タマタマ,ねんりき,くさむすび,やどりぎのタネ,ひかりのかべ,あやしいおこう,ひかえめ,ぼうぎょ/とくこう,120,40,116,105,50,45
64,イーブイ,とっしん,かみつく,じたばた,こらえる,カムラのみ,ようき,こうげき/すばやさ,115,91,55,45,70,100
65,カラナクシ,みずのはどう,どろかけ,こごえるかぜ,かたくなる,のんきのおこう,ずぶとい,HP/とくこう,167,47,58,93,67,39
66,スリープ,サイケこうせん,ねこのて,かなしばり,バリアー,チーゴのみ,ひかえめ,とくこう/とくぼう,120,47,50,86,126,47
67,スカンプー,おいうち,どくどく,きりさく,えんまく,くろいメガネ,いじっぱり,こうげき/すばやさ,123,108,52,41,46,110
68,ビリリダマ,でんげきは,スピードスター,でんじは,ひかりのかべ,ヤタピのみ,ひかえめ,とくこう/すばやさ,100,31,55,100,60,136
69,チョンチー,でんげきは,バブルこうせん,こごえるかぜ,でんじは,じしゃく,ひかえめ,HP/とくこう,166,38,43,101,61,72
70,ヒメグマ,ひみつのちから,だましうち,メロメロ,ねむる,カゴのみ,わんぱく,HP/こうげき,151,116,60,49,55,45
71,デリバード,プレゼント,アイスボール,つばめがえし,あられ,とけないこおり,いじっぱり,こうげき/すばやさ,105,100,50,63,50,111
72,デルビル,ほのおのキバ,かみつく,ほえる,おにび,もくたん,いじっぱり,こうげき/すばやさ,105,105,35,76,55,101
73,ゴマゾウ,ころがる,がんせきふうじ,まるくなる,すなあらし,メトロノーム,いじっぱり,HP/こうげき,181,105,65,40,45,45
74,ココドラ,メタルクロー,がんせきふうじ,てっぺき,まもる,メタルコート,わんぱく,こうげき/ぼうぎょ,110,106,149,40,45,35
75,バネブー,サイコウェーブ,スピードスター,マジックコート,あやしいひかり,オボンのみ,ひかえめ,とくこう/とくぼう,120,27,40,116,116,65
76,ラブカス,みずのはどう,メロメロ,てんしのキッス,あまごい,しめったいわ,おくびょう,とくこう/すばやさ,103,31,60,76,70,146
77,ブイゼル,アクアジェット,でんこうせっか,おいうち,なきごえ,さざなみのおこう,ようき,こうげき/すばやさ,115,101,40,58,35,133
78,ヒポポタス,あなをほる,がんせきふうじ,すなじごく,あくび,カゴのみ,いじっぱり,HP/こうげき,159,118,83,38,47,37
79,スコルピ,どくどくのキバ,むしくい,かみつく,どくびし,どくバリ,わんぱく,こうげき/ぼうぎょ,100,86,138,31,60,70
80,ケイコウオ,みずのはどう,ぎんいろのかぜ,メロメロ,アクアリング,さざなみのおこう,ひかえめ,とくこう/とくぼう,109,48,61,93,97,71
81,ユキカブリ,れいとうパンチ,はっぱカッター,くさぶえ,ねをはる,とけないこおり,いじっぱり,HP/こうげき,151,107,55,60,65,45
82,メノクラゲ,バブルこうせん,ようかいえき,ちょうおんぱ,バリアー,クラボのみ,ひかえめ,とくこう/とくぼう,100,40,40,94,136,75
83,サボネア,ニードルアーム,だましうち,わたほうし,くさぶえ,ナナシのみ,いじっぱり,HP/こうげき,141,133,45,81,45,40
84,ドガース,ヘドロこうげき,サイケこうせん,えんまく,うらみ,どくバリ,ひかえめ,ぼうぎょ/とくこう,100,63,131,105,50,40
85,ヒトデマン,バブルこうせん,たつまき,スピードスター,ひかりのかべ,クラボのみ,おくびょう,とくこう/すばやさ,90,45,60,106,60,133
86,ポポッコ,メガドレイン,つばめがえし,ねんりき,わたほうし,おおきなねっこ,すなお,こうげき/とくこう,115,81,55,81,70,85
87,ハスブレロ,みずのはどう,メガドレイン,ねこだまし,あまごい,しめったいわ,れいせい,とくこう/とくぼう,120,55,55,105,106,49
88,コノハナ,はっぱカッター,だましうち,いばる,かたくなる,ナナシのみ,いじっぱり,HP/こうげき,161,116,45,58,45,65
89,ビブラーバ,りゅうのいぶき,どろかけ,あやしいかぜ,ちょうおんぱ,ナナシのみ,ひかえめ,とくこう/すばやさ,110,67,55,94,55,106
90,ムクバード,がむしゃら,つばさでうつ,でんこうせっか,ふきとばし,するどいくちばし,いじっぱり,こうげき/すばやさ,115,122,55,40,45,116
91,サイホーン,あなをほる,ロックブラスト,こわいかお,しっぽをふる,キーのみ,いじっぱり,HP/こうげき/ぼうぎょ,161,122,121,31,35,30
92,パールル,うずしお,どくどく,てっぺき,まもる,しんかいのウロコ,ずぶとい,HP/ぼうぎょ,126,62,133,79,60,37
93,タマンタ,バブルこうせん,つばめがえし,こごえるかぜ,こうそくいどう,しんぴのしずく,すなお,とくこう/とくぼう,105,25,55,96,156,55
94,フワンテ,あやしいかぜ,エアカッター,こごえるかぜ,おにび,ヤタピのみ,ひかえめ,HP/とくこう,181,49,39,105,49,75
95,ピジョン,つばさでうつ,でんこうせっか,フェザーダンス,オウムがえし,チーゴのみ,いじっぱり,こうげき/すばやさ,123,105,60,49,55,107
96,ガーディ,ほのおのキバ,かみつく,ほえる,こうそくいどう,もくたん,いじっぱり,HP/こうげき,146,116,50,57,55,65
97,ズガイドス,がんせきふうじ,おいうち,こわいかお,にらみつける,がんせきおこう,しんちょう,ぼうぎょ/とくぼう,127,130,76,31,72,63
98,タテトプス,アイアンヘッド,がんせきふうじ,いばる,てっぺき,きあいのハチマキ,なまいき,こうげき/ぼうぎょ,90,78,154,47,102,31
99,ミミロル,ピヨピヨパンチ,ドレインパンチ,でんこうせっか,みやぶる,くろおび,いじっぱり,こうげき/すばやさ,115,112,49,44,31,121
100,カモネギ,きりさく,エアカッター,はたきおとす,つるぎのまい,ながねぎ,いじっぱり,こうげき/とくぼう,112,111,60,56,98,65
101,オムナイト,げんしのちから,みずでっぽう,マッドショット,まもる,モモンのみ,ずぶとい,ぼうぎょ/とくこう,95,40,149,126,60,40
102,カブト,アクアジェット,がんせきふうじ,はたきおとす,きんぞくおん,チイラのみ,いじっぱり,こうげき/ぼうぎょ,90,127,126,54,50,60
103,リリーラ,げんしのちから,くさむすび,ねをはる,あやしいひかり,のんきのおこう,おだやか,HP/ぼうぎょ/とくぼう,147,41,103,66,124,28
104,アノプス,れんぞくぎり,ロックブラスト,メタルクロー,まもる,メトロノーム,いじっぱり,こうげき/すばやさ,105,144,55,40,55,111
105,エイパム,ダブルアタック,とんぼがえり,でんじは,ねこだまし,シルクのスカーフ,いじっぱり,こうげき/すばやさ,115,116,60,40,60,121
106,エレキッド,かみなりパンチ,からてチョップ,でんこうせっか,ひかりのかべ,クラボのみ,ようき,こうげき/すばやさ,105,99,42,63,60,144
107,ドゴーム,ふみつけ,かみつく,とおぼえ,ちょうおんぱ,キーのみ,いじっぱり,HP/こうげき,175,117,48,68,48,53
108,パッチール,ピヨピヨパンチ,ドレインパンチ,だましうち,フラフラダンス,シルクのスカーフ,いじっぱり,HP/こうげき,151,105,65,58,65,65
109,ノコッチ,ずつき,かみつく,うらみ,へびにらみ,するどいツメ,いじっぱり,HP/こうげき,191,116,75,63,70,50
110,ニドリーナ,どくどくのキバ,にどげり,かみつく,おだてる,どくバリ,いじっぱり,HP/こうげき,161,107,72,54,60,61
111,ニドリーノ,どくどく,にどげり,からげんき,おだてる,きあいのハチマキ,いじっぱり,HP/こうげき,152,118,62,54,60,70
112,モココ,でんげきは,スピードスター,でんじは,ひかりのかべ,ひかりのねんど,ひかえめ,HP/とくこう,161,54,60,127,65,50
113,ブビィ,ほのおのパンチ,マッハパンチ,にらみつける,えんまく,モモンのみ,いじっぱり,こうげき/すばやさ,105,122,42,67,60,119
114,ノズパス,げんしのちから,でんげきは,でんじは,すなあらし,かたいいし,ひかえめ,ぼうぎょ/とくこう,90,45,171,89,95,35
115,サニーゴ,バブルこうせん,げんしのちから,ミラーコート,バリアー,きあいのハチマキ,ひかえめ,とくこう/とくぼう,115,54,90,111,121,40
116,エネコロロ,ひみつのちから,だましうち,ねこだまし,みやぶる,オボンのみ,いじっぱり,HP/こうげき,161,111,70,54,60,75
117,ヤミラミ,だましうち,かげうち,ねこだまし,みきり,くろいメガネ,わんぱく,こうげき/ぼうぎょ,110,111,122,63,70,55
118,クチート,アイアンヘッド,かみつく,くすぐる,てっぺき,ひかりのこな,わんぱく,HP/ぼうぎょ,141,90,133,54,60,55
119,コロトック,れんぞくぎり,いわくだき,はたきおとす,きあいだめ,メトロノーム,いじっぱり,HP/こうげき,168,133,56,54,56,70
120,バタフリー,ぎんいろのかぜ,エアカッター,サイケこうせん,おいかぜ,モモンのみ,ひかえめ,とくこう/とくぼう,120,45,55,127,116,75
121,スピアー,ダブルニードル,どくどく,ダメおし,こうそくいどう,ピントレンズ,ようき,こうげき/とくぼう,125,116,45,45,116,88
122,ニョロゾ,バブルこうせん,おうふくビンタ,しろいきり,あまごい,チイラのみ,がんばりや,こうげき/とくこう,125,101,70,86,55,95
123,イワーク,いわなだれ,あなをほる,いやなおと,すなあらし,かたいいし,いじっぱり,こうげき/ぼうぎょ,95,89,196,31,50,75
124,ベロリンガ,ひみつのちから,がんせきふうじ,したでなめる,いやなおと,カゴのみ,いじっぱり,HP/こうげき,181,100,80,58,80,35
125,アゲハント,ぎんいろのかぜ,エアカッター,メガドレイン,メロメロ,ぎんのこな,ひかえめ,とくこう/すばやさ,120,67,55,138,55,101
126,ドクケイル,ぎんいろのかぜ,どくどく,サイケこうせん,ふきとばし,ぎんのこな,ひかえめ,とくこう/とくぼう,120,49,75,94,126,70
127,ウツドン,はっぱカッター,ようかいえき,まきつく,あまいかおり,ピントレンズ,れいせい,こうげき/とくこう,125,126,55,133,50,54
128,ゴローン,マグニチュード,がんせきふうじ,ステルスロック,まるくなる,きあいのハチマキ,いじっぱり,こうげき/ぼうぎょ,115,144,151,45,50,40
129,レディアン,ぎんいろのかぜ,エアカッター,こうそくいどう,バトンタッチ,するどいツメ,おくびょう,とくこう/とくぼう,115,36,55,91,146,99
130,アリアドス,むしくい,どくどく,かげうち,クモのす,ぎんのこな,いじっぱり,HP/こうげき,161,138,75,58,65,45
131,ヤンヤンマ,ぎんいろのかぜ,エアカッター,かげぶんしん,みきり,のんきのおこう,おくびょう,とくこう/すばやさ,125,63,50,111,50,144
132,ゴンベ,ゆびをふる,リサイクル,たくわえる,のみこむ,オボンのみ,のんき,ぼうぎょ/とくぼう,195,90,83,45,121,9
133,クサイハナ,メガドレイン,ようかいえき,しびれごな,つきのひかり,きせきのタネ,ひかえめ,HP/とくこう,151,63,75,133,80,45
134,ポリゴン,スピードスター,サイケこうせん,こごえるかぜ,リサイクル,キーのみ,ひかえめ,HP/とくこう,156,58,75,133,80,45
135,ポワルン,ウェザーボール,にほんばれ,あまごい,あられ,キーのみ,おくびょう,とくこう/すばやさ,130,67,75,106,75,116
136,バルビート,とんぼがえり,でんこうせっか,あやしいひかり,てだすけ,チイラのみ,ようき,こうげき/すばやさ,125,109,60,46,80,133
137,イルミーゼ,ぎんいろのかぜ,スピードスター,ねがいごと,てだすけ,ヤタピのみ,おくびょう,とくこう/すばやさ,125,46,60,109,80,133
138,ロゼリア,メガドレイン,どくどく,くさぶえ,わたほうし,くろいヘドロ,ひかえめ,とくこう/とくぼう,110,58,50,149,116,70
139,ホエルコ,みずのはどう,こごえるかぜ,ほえる,しろいきり,うしおのおこう,ひかえめ,とくこう/すばやさ,190,67,40,116,40,96
140,パラセクト,むしくい,くさむすび,ひっかく,しびれごな,ナナシのみ,ようき,とくぼう/すばやさ,120,100,85,58,116,72
141,ペラップ,おしゃべり,スピードスター,うたう,オウムがえし,キーのみ,おだやか,とくぼう/すばやさ,136,63,50,97,85,127
142,ゴースト,ナイトヘッド,どくどく,あやしいひかり,おんねん,キーのみ,おくびょう,とくこう/すばやさ,105,49,50,151,60,144
143,トゲチック,エアカッター,スピードスター,マジカルリーフ,ねがいごと,カゴのみ,おだやか,とくこう/とくぼう,115,40,90,116,155,45
144,ヤミカラス,だましうち,つばさでうつ,いちゃもん,ちょうはつ,くろいメガネ,ようき,こうげき/すばやさ,120,121,47,80,47,139
145,ソーナンス,カウンター,ミラーコート,あまえる,はねる,きあいのハチマキ,ようき,ぼうぎょ/とくぼう/すばやさ,250,38,84,34,84,64
146,プラスル,でんげきは,スピードスター,うそなき,てだすけ,ヤタピのみ,おくびょう,とくこう/すばやさ,120,49,45,121,80,144
147,マイナン,でんげきは,スピードスター,アンコール,てだすけ,カムラのみ,おくびょう,とくこう/すばやさ,120,40,55,111,90,144
148,パチリス,スパーク,でんこうせっか,かみつく,てんしのキッス,じしゃく,ようき,こうげき/すばやさ,120,81,75,45,95,144
149,ポニータ,かえんぐるま,ふみつけ,おにび,しっぽをふる,カゴのみ,いじっぱり,こうげき/すばやさ,110,133,60,63,70,126
150,マリルリ,バブルこうせん,ころがる,まるくなる,しっぽをふる,モモンのみ,れいせい,とくこう/とくぼう,160,55,85,94,116,49
151,フシギソウ,はっぱカッター,どくのこな,とっしん,やどりぎのタネ,カムラのみ,しんちょう,こうげき/とくぼう,122,100,70,78,129,67
152,リザード,ほのおのキバ,きりさく,えんまく,こわいかお,するどいツメ,やんちゃ,こうげき/すばやさ,120,112,65,84,64,118
153,カメール,アクアジェット,かみつく,こうそくスピン,あくび,きあいのハチマキ,いじっぱり,HP/こうげき,152,111,84,64,84,65
154,ベイリーフ,マジカルリーフ,げんしのちから,しんぴのまもり,ひかりのかべ,オボンのみ,ひかえめ,HP/とくこう,153,62,87,111,87,67
155,マグマラシ,かえんぐるま,にどげり,でんこうせっか,えんまく,カゴのみ,いじっぱり,こうげき/すばやさ,120,112,65,78,72,118
156,アリゲイツ,みずのはどう,きりさく,かみつく,こわいかお,ピントレンズ,まじめ,こうげき/とくこう,127,118,87,97,70,65
157,ジュプトル,マジカルリーフ,スピードスター,どろかけ,みきり,バコウのみ,おくびょう,とくこう/すばやさ,112,64,52,123,72,146
158,ワカシャモ,ほのおのパンチ,にどげり,でんこうせっか,すなかけ,チイラのみ,いじっぱり,HP/こうげき,153,135,67,82,67,62
159,ヌマクロー,マッドショット,みずのはどう,げんしのちから,なきごえ,きあいのハチマキ,ひかえめ,とくこう/とくぼう,132,82,77,107,108,57
160,ハヤシガメ,はっぱカッター,かみつく,やどりぎのタネ,こうごうせい,おおきなねっこ,のんき,こうげき/ぼうぎょ,137,127,135,62,72,38
161,モウカザル,マッハパンチ,かえんぐるま,みだれひっかき,ちょうはつ,バコウのみ,いじっぱり,こうげき/すばやさ,126,127,59,76,59,119
162,ポッタイシ,バブルこうせん,メタルクロー,つつく,かげぶんしん,ソクノのみ,れいせい,とくこう/とくぼう,126,73,75,130,114,51
163,ウソッキー,いわなだれ,だましうち,すなあらし,とおせんぼう,かたいいし,わんぱく,こうげき/ぼうぎょ,132,138,168,33,72,37
164,マグカルゴ,ふんえん,げんしのちから,とける,すなあらし,のんきのおこう,ひかえめ,HP/とくこう,143,51,127,129,87,37
165,サナギラス,がんせきふうじ,あなをほる,こわいかお,すなあらし,かたいいし,いじっぱり,HP/こうげき,163,134,77,64,77,58
166,トドグラー,オーロラビーム,みずのはどう,アンコール,あられ,つめたいいわ,のんき,HP/とくこう,183,67,84,113,77,46
167,ビーダル,ずつき,みずのはどう,でんこうせっか,なきごえ,ヨプのみ,きまぐれ,こうげき/とくこう,141,123,67,93,67,78
168,ガバイト,りゅうのいかり,すなじごく,きりさく,すなかけ,ヤチェのみ,いじっぱり,こうげき/すばやさ,130,140,72,51,62,120
169,ゴーリキー,からてチョップ,がんせきふうじ,みやぶる,こわいかお,きあいのハチマキ,いじっぱり,HP/こうげき,173,151,77,51,67,52
170,ラッタ,がむしゃら,おいうち,でんこうせっか,こわいかお,シルクのスカーフ,ようき,こうげき/すばやさ,117,119,64,51,77,148
171,アメモース,ぎんいろのかぜ,エアカッター,あまいかおり,こわいかお,ぎんのこな,ずぶとい,ぼうぎょ/とくこう,132,60,110,118,89,67
172,オオタチ,きりさく,ふいうち,てだすけ,ねこのて,チイラのみ,ようき,こうげき/すばやさ,147,114,71,46,62,140
173,ルクシオ,かみなりのキバ,かみつく,フラッシュ,いばる,じしゃく,いじっぱり,HP/こうげき,153,135,56,60,56,67
174,チェリム,マジカルリーフ,やどりぎのタネ,くさぶえ,こうごうせい,キーのみ,ずぶとい,とくぼう/すばやさ,132,60,84,94,116,123
175,ハクリュー,りゅうのいぶき,みずのはどう,でんじは,しんぴのまもり,クラボのみ,ひかえめ,とくこう/とくぼう,123,81,72,118,108,77
176,グラエナ,かみつく,どくどくのキバ,とおぼえ,ほえる,するどいキバ,ようき,こうげき/すばやさ,132,128,77,60,67,118
177,マッスグマ,きりさく,シャドークロー,ほしがる,くすぐる,サンのみ,ようき,こうげき/すばやさ,140,108,68,51,68,151
178,ユンゲラー,ねんりき,なりきり,かなしばり,みらいよち,まがったスプーン,おくびょう,とくぼう/すばやさ,102,37,37,127,108,157
179,コモルー,りゅうのいぶき,ずつき,まもる,こわいかお,ナナシのみ,れいせい,こうげき/とくこう,127,133,107,107,57,51
180,メタング,メタルクロー,ねんりき,でんじふゆう,こわいかお,カゴのみ,がんばりや,こうげき/とくこう,122,113,107,93,84,57
181,ミノマダム,はっぱカッター,むしくい,まもる,ゆうわく,バコウのみ,いじっぱり,こうげき/とくぼう,163,90,57,145,57,73
182,ガーメイル,ぎんいろのかぜ,エアカッター,どくのこな,ゆうわく,ヤタピのみ,ひかえめ,HP/とくこう,233,118,52,73,57,52
183,プクリン,ひみつのちから,くさむすび,ねがいごと,うたう,シルクのスカーフ,いじっぱり,HP/こうげき,137,73,62,143,135,37
184,キマワリ,メガドレイン,ねをはる,やどりぎのタネ,ひかりのかべ,キーのみ,おだやか,とくこう/とくぼう,127,51,77,133,129,72
185,チリーン,サイコウェーブ,こごえるかぜ,いやしのすず,しんぴのまもり,モモンのみ,おだやか,とくこう/とくぼう,127,124,143,37,72,92
186,グライガー,つばめがえし,すなじごく,メタルクロー,つるぎのまい,するどいツメ,いじっぱり,こうげき/ぼうぎょ,127,124,143,37,72,92
187,ハリーセン,バブルこうせん,どくどく,ミサイルばり,かたくなる,クラボのみ,てれや,こうげき/とくこう,127,133,82,93,62,92
188,ニューラ,だましうち,こおりのつぶて,にらみつける,ちょうはつ,キーのみ,ようき,こうげき/すばやさ,117,133,62,37,82,168
189,オオスバメ,ついばむ,でんこうせっか,きあいだめ,なきごえ,おうじゃのしるし,ようき,こうげき/すばやさ,122,123,67,51,57,179
190,ペリッパー,みずのはどう,エアカッター,たくわえる,のみこむ,カゴのみ,ひかえめ,ぼうぎょ/とくこう,122,51,138,135,77,72
191,コドラ,メタルクロー,がんせきふうじ,てっぺき,まもる,メタルコート,わんぱく,こうげき/ぼうぎょ,122,128,195,51,57,47
192,モンジャラ,メガドレイン,げんしのちから,どくどく,しめつける,モモンのみ,ずぶとい,ぼうぎょ/とくこう,127,55,168,138,47,67
